id;descricao;inicio;fim;tipo_calendario_id;dre_id_eol;ue_id_eol;status;criado_em;bimestre
1253;CORRECAO DE PENDENCIAS 1 B;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;108100;019160;1;2016-11-21 14:47:45.143;1
1254;CORRECAO DE PENDENCIAS 2 B;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;108100;019160;1;2016-11-21 14:53:17.170;2
1255;CORRECAO DE PENDENCIAS 3 B;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;108100;019160;1;2016-11-21 14:55:11.597;3
1256;Correção de Pendências 1B*;2016-12-01 00:00:00.000;2016-12-22 00:00:00.000;3;108100;019160;1;2016-12-08 11:25:04.600;1
1257;Correção de Pendências 2B*;2016-12-01 00:00:00.000;2016-12-22 00:00:00.000;3;108100;019160;1;2016-12-08 11:26:14.853;2
1258;Correção de Pendências 3B*;2016-12-01 00:00:00.000;2016-12-22 00:00:00.000;3;108100;019160;1;2016-12-08 11:27:03.870;3
1259;Retificação final 1º bimestre;2016-12-05 00:00:00.000;2016-12-08 00:00:00.000;3;108200;092860;1;2016-12-06 11:17:39.677;1
1260;Retificação final 2º bimestre;2016-12-05 00:00:00.000;2016-12-08 00:00:00.000;3;108200;092860;1;2016-12-06 11:18:30.883;2
1261;Retificação final do 3º bimestre;2016-12-05 00:00:00.000;2016-12-08 00:00:00.000;3;108200;092860;1;2016-12-06 11:19:14.667;3
1262;Retificação Final-1º bim;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;109100;095265;1;2016-11-09 15:33:31.273;1
1263;Retificação Final-2º bim;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;109100;095265;1;2016-11-09 15:47:48.653;2
1264;Retificação Final-3º bim;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;109100;095265;1;2016-11-09 15:48:36.780;3
1265;Retificação do Fecham.1º bim.(2);2016-06-13 00:00:00.000;2016-07-08 00:00:00.000;3;109100;095265;1;2016-06-17 14:48:25.133;1
1266;Retificação do Fecham.2º bim.;2016-09-16 00:00:00.000;2016-10-09 00:00:00.000;3;109100;095265;1;2016-09-14 16:55:31.530;2
1267;Pendencias fechamento 1º bimestre;2016-07-07 00:00:00.000;2016-07-08 00:00:00.000;3;109300;093904;1;2016-07-07 09:25:16.493;1
1268;CORREÇÃO DE PENDENCIAS;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;109300;093904;1;2016-11-09 20:26:22.940;1
1269;CORREÇÃO DE PENDENCIAS  2;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;109300;093904;1;2016-11-09 20:27:36.373;2
1270;CORREÇÃO DE PENDENCIAS 3;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;109300;093904;1;2016-11-09 20:28:20.833;3
1271;Fechamento Pendencias 1ºbim;2016-12-14 00:00:00.000;2016-12-19 00:00:00.000;3;109300;093904;1;2016-12-14 20:05:46.653;1
1272;Fechamento pendencias 2ºbim;2016-12-14 00:00:00.000;2016-12-19 00:00:00.000;3;109300;093904;1;2016-12-14 20:16:29.607;2
1273;Fechamento pendencias 3ºbim;2016-12-14 00:00:00.000;2016-12-19 00:00:00.000;3;109300;093904;1;2016-12-14 20:17:15.987;3
1274;Retificação 1º Bimestre;2016-12-19 00:00:00.000;2016-12-22 00:00:00.000;3;108900;094056;1;2016-12-19 15:20:28.950;1
1275;Retificação 2º Bimestre;2016-12-19 00:00:00.000;2016-12-22 00:00:00.000;3;108900;094056;1;2016-12-19 15:21:21.797;2
1276;Retificação 3º Bimestre;2016-12-19 00:00:00.000;2016-12-22 00:00:00.000;3;108900;094056;1;2016-12-19 15:21:55.737;3
1277;RETIFICAÇÃO do 1º Bimestre;2016-06-29 00:00:00.000;2016-07-08 00:00:00.000;3;109100;019419;1;2016-06-29 13:17:34.757;1
1278;Pendencias atualizado 1º bimestre;2016-11-16 00:00:00.000;2016-11-18 00:00:00.000;3;109100;019419;1;2016-11-16 11:15:10.080;1
1279;Pendencias atualizado 3º bimestre;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;109100;019419;1;2016-11-16 11:15:52.833;3
1280;Pendencias atualizado 2º bimestre;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;109100;019419;1;2016-11-16 11:14:24.373;2
1281;"Retificação 3 º Bimestre ";2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;108500;014699;1;2016-11-25 16:27:56.673;3
1282;Retificação 1º Bimestre;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;108500;014699;1;2016-11-29 11:05:59.253;1
1283;Retificação 2º Bimestre;2016-11-16 00:00:00.000;2016-11-30 00:00:00.000;3;108500;014699;1;2016-11-29 11:06:38.520;2
1284;"2ª Retificação do 1º Bimestre ";2016-12-09 00:00:00.000;2016-12-14 00:00:00.000;3;108500;014699;1;2016-12-09 17:01:09.280;1
1285;"2ª Retificação do 2º Bimestre ";2016-12-09 00:00:00.000;2016-12-14 00:00:00.000;3;108500;014699;1;2016-12-09 17:02:04.120;2
1286;"2ª Retificação do 3º Bimestre ";2016-12-09 00:00:00.000;2016-12-14 00:00:00.000;3;108500;014699;1;2016-12-09 17:02:40.640;3
1287;Correção de Pendências 1B;2016-12-12 00:00:00.000;2016-12-22 00:00:00.000;3;108100;093165;1;2016-12-12 14:04:49.707;1
1288;Correção de Pendências 2B;2016-12-12 00:00:00.000;2016-12-22 00:00:00.000;3;108100;093165;1;2016-12-12 14:10:37.203;2
1289;Correção de Pendências 3B;2016-12-12 00:00:00.000;2016-12-22 00:00:00.000;3;108100;093165;1;2016-12-12 14:11:31.533;3
1290;Correções 1º Bimestre;2016-12-19 00:00:00.000;2016-12-22 00:00:00.000;3;108700;093441;1;2016-12-19 18:21:29.570;1
1291;Correções 3º Bimestre;2016-12-15 00:00:00.000;2016-12-20 00:00:00.000;3;108700;093441;1;2016-12-19 18:24:14.633;3
1292;Correções de Pendências - 1º Bim;2016-11-24 00:00:00.000;2016-11-30 00:00:00.000;3;108700;093441;1;2016-11-24 15:59:07.767;1
1293;Correções de Pendências - 2º Bim;2016-11-24 00:00:00.000;2016-11-30 00:00:00.000;3;108700;093441;1;2016-11-24 16:00:35.070;2
1294;Correções de Pendências - 3º Bim;2016-11-24 00:00:00.000;2016-11-30 00:00:00.000;3;108700;093441;1;2016-11-24 16:01:14.790;3
1295;Atividade Discente;2016-06-13 00:00:00.000;2016-07-08 00:00:00.000;3;108700;093441;1;2016-06-22 13:24:10.503;1
1296;Correções de Pendências;2016-09-16 00:00:00.000;2016-10-09 00:00:00.000;3;108700;093441;1;2016-09-19 15:00:38.180;2
1297;" CORREÇÃO DE PENDÊNCIA 1º BIMESTRE - REABERTURA";2016-12-07 00:00:00.000;2016-12-09 00:00:00.000;3;109200;099792;1;2016-12-07 17:39:01.500;1
1298;CORREÇÃO DE PENDÊNCIA 2º BIMESTRE - REABERTURA;2016-12-07 00:00:00.000;2016-12-09 00:00:00.000;3;109200;099792;1;2016-12-07 17:40:31.957;2
1299;CORREÇÃO DE PENDÊNCIA 3º BIMESTRE - REABERTURA;2016-12-07 00:00:00.000;2016-12-09 00:00:00.000;3;109200;099792;1;2016-12-07 17:41:20.693;3
1300;Retificação do 3º bimestre;2016-12-06 00:00:00.000;2016-12-09 00:00:00.000;3;108700;093718;1;2016-12-07 15:02:39.417;3
1301;Retificação do 1º bimestre;2016-12-16 00:00:00.000;2016-12-20 00:00:00.000;3;108700;093718;1;2016-12-16 12:00:32.387;1
1302;Retificação do 2º bimestre;2016-12-16 00:00:00.000;2016-12-20 00:00:00.000;3;108700;093718;1;2016-12-16 12:01:12.560;2
1303;Correção das Retificações do 3º bimestre;2016-12-16 00:00:00.000;2016-12-20 00:00:00.000;3;108700;093718;1;2016-12-16 12:03:33.000;3
1304;Retificação 1;2016-11-21 00:00:00.000;2016-11-30 00:00:00.000;3;108700;093718;1;2016-11-24 17:34:46.543;1
1305;Retificação 2;2016-11-21 00:00:00.000;2016-11-30 00:00:00.000;3;108700;093718;1;2016-11-24 17:35:09.963;2
